Scene,Sampler,Integrator,Execution Time (ns)
bistro_boulangerie,halton,bdpt,584050
bistro_boulangerie,halton,lightpath,589190
bistro_boulangerie,halton,path,612810
bistro_boulangerie,halton,randomwalk,596130
bistro_boulangerie,halton,simplepath,613680
bistro_boulangerie,halton,simplevolpath,775849
bistro_boulangerie,halton,volpath,801089
bistro_boulangerie,independent,bdpt,615140
bistro_boulangerie,independent,lightpath,625150
bistro_boulangerie,independent,path,827729
bistro_boulangerie,independent,randomwalk,589109
bistro_boulangerie,independent,simplepath,625399
bistro_boulangerie,independent,simplevolpath,819510
bistro_boulangerie,independent,volpath,810949
bistro_boulangerie,paddedsobol,bdpt,584189
bistro_boulangerie,paddedsobol,lightpath,641259
bistro_boulangerie,paddedsobol,path,842960
bistro_boulangerie,paddedsobol,randomwalk,610968
bistro_boulangerie,paddedsobol,simplepath,607300
bistro_boulangerie,paddedsobol,simplevolpath,825459
bistro_boulangerie,paddedsobol,volpath,840900
bistro_boulangerie,sobol,bdpt,805249
bistro_boulangerie,sobol,lightpath,621350
bistro_boulangerie,sobol,path,675129
bistro_boulangerie,sobol,randomwalk,831578
bistro_boulangerie,sobol,simplepath,850469
bistro_boulangerie,sobol,simplevolpath,618519
bistro_boulangerie,sobol,volpath,836779
bistro_boulangerie,stratified,bdpt,864240
bistro_boulangerie,stratified,lightpath,831109
bistro_boulangerie,stratified,path,838310
bistro_boulangerie,stratified,randomwalk,606750
bistro_boulangerie,stratified,simplepath,636060
bistro_boulangerie,stratified,simplevolpath,853460
bistro_boulangerie,stratified,volpath,865499
bistro_boulangerie,zsobol,bdpt,677309
bistro_boulangerie,zsobol,lightpath,609860
bistro_boulangerie,zsobol,path,602730
bistro_boulangerie,zsobol,randomwalk,623359
bistro_boulangerie,zsobol,simplepath,883069
bistro_boulangerie,zsobol,simplevolpath,836930
bistro_boulangerie,zsobol,volpath,802650
contemporary-bathroom,halton,bdpt,561870
contemporary-bathroom,halton,lightpath,615670
contemporary-bathroom,halton,path,642170
contemporary-bathroom,halton,randomwalk,844659
contemporary-bathroom,halton,simplepath,831060
contemporary-bathroom,halton,simplevolpath,729940
contemporary-bathroom,halton,volpath,654080
contemporary-bathroom,independent,bdpt,846239
contemporary-bathroom,independent,lightpath,589139
contemporary-bathroom,independent,path,633379
contemporary-bathroom,independent,randomwalk,832868
contemporary-bathroom,independent,simplepath,825480
contemporary-bathroom,independent,simplevolpath,642010
contemporary-bathroom,independent,volpath,854240
contemporary-bathroom,paddedsobol,bdpt,830279
contemporary-bathroom,paddedsobol,lightpath,615490
contemporary-bathroom,paddedsobol,path,598399
contemporary-bathroom,paddedsobol,randomwalk,826689
contemporary-bathroom,paddedsobol,simplepath,708930
contemporary-bathroom,paddedsobol,simplevolpath,575050
contemporary-bathroom,paddedsobol,volpath,578660
contemporary-bathroom,sobol,bdpt,623758
contemporary-bathroom,sobol,lightpath,586850
contemporary-bathroom,sobol,path,653900
contemporary-bathroom,sobol,randomwalk,851329
contemporary-bathroom,sobol,simplepath,832030
contemporary-bathroom,sobol,simplevolpath,609310
contemporary-bathroom,sobol,volpath,722039
contemporary-bathroom,stratified,bdpt,613540
contemporary-bathroom,stratified,lightpath,588050
contemporary-bathroom,stratified,path,608490
contemporary-bathroom,stratified,randomwalk,579960
contemporary-bathroom,stratified,simplepath,601399
contemporary-bathroom,stratified,simplevolpath,603249
contemporary-bathroom,stratified,volpath,832370
contemporary-bathroom,zsobol,bdpt,712990
contemporary-bathroom,zsobol,lightpath,617240
contemporary-bathroom,zsobol,path,591860
contemporary-bathroom,zsobol,randomwalk,730509
contemporary-bathroom,zsobol,simplepath,762430
contemporary-bathroom,zsobol,simplevolpath,636759
contemporary-bathroom,zsobol,volpath,782260
ganesha,halton,bdpt,819780
ganesha,halton,lightpath,614590
ganesha,halton,path,820389
ganesha,halton,randomwalk,550500
ganesha,halton,simplepath,597770
ganesha,halton,simplevolpath,603900
ganesha,halton,volpath,576230
ganesha,independent,bdpt,592579
ganesha,independent,lightpath,607320
ganesha,independent,path,593780
ganesha,independent,randomwalk,602560
ganesha,independent,simplepath,641359
ganesha,independent,simplevolpath,828479
ganesha,independent,volpath,590690
ganesha,paddedsobol,bdpt,816840
ganesha,paddedsobol,lightpath,595419
ganesha,paddedsobol,path,600560
ganesha,paddedsobol,randomwalk,643860
ganesha,paddedsobol,simplepath,823360
ganesha,paddedsobol,simplevolpath,632130
ganesha,paddedsobol,volpath,878519
ganesha,sobol,bdpt,819148
ganesha,sobol,lightpath,802379
ganesha,sobol,path,639510
ganesha,sobol,randomwalk,815380
ganesha,sobol,simplepath,623800
ganesha,sobol,simplevolpath,827989
ganesha,sobol,volpath,594620
ganesha,stratified,bdpt,602360
ganesha,stratified,lightpath,571429
ganesha,stratified,path,600440
ganesha,stratified,randomwalk,601390
ganesha,stratified,simplepath,721199
ganesha,stratified,simplevolpath,857560
ganesha,stratified,volpath,824510
ganesha,zsobol,bdpt,798560
ganesha,zsobol,lightpath,604729
ganesha,zsobol,path,608750
ganesha,zsobol,randomwalk,610580
ganesha,zsobol,simplepath,563120
ganesha,zsobol,simplevolpath,633269
ganesha,zsobol,volpath,831820
crown,halton,bdpt,542069
crown,halton,lightpath,572389
crown,halton,path,535399
crown,halton,randomwalk,526240
crown,halton,simplepath,580390
crown,halton,simplevolpath,683279
crown,halton,volpath,791980
crown,independent,bdpt,538510
crown,independent,lightpath,544550
crown,independent,path,539710
crown,independent,randomwalk,571860
crown,independent,simplepath,802390
crown,independent,simplevolpath,679860
crown,independent,volpath,794619
crown,paddedsobol,bdpt,547520
crown,paddedsobol,lightpath,782460
crown,paddedsobol,path,542930
crown,paddedsobol,randomwalk,777968
crown,paddedsobol,simplepath,827070
crown,paddedsobol,simplevolpath,564310
crown,paddedsobol,volpath,793080
crown,sobol,bdpt,547160
crown,sobol,lightpath,684850
crown,sobol,path,860619
crown,sobol,randomwalk,775790
crown,sobol,simplepath,526880
crown,sobol,simplevolpath,543839
crown,sobol,volpath,587170
crown,stratified,bdpt,871909
crown,stratified,lightpath,776049
crown,stratified,path,543240
crown,stratified,randomwalk,558360
crown,stratified,simplepath,863930
crown,stratified,simplevolpath,712940
crown,stratified,volpath,544240
crown,zsobol,bdpt,541460
crown,zsobol,lightpath,570100
crown,zsobol,path,767049
crown,zsobol,randomwalk,562240
crown,zsobol,simplepath,802930
crown,zsobol,simplevolpath,540510
crown,zsobol,volpath,727190
sanmiguel-realistic-courtyard,halton,bdpt,796899
sanmiguel-realistic-courtyard,halton,lightpath,610810
sanmiguel-realistic-courtyard,halton,path,795590
sanmiguel-realistic-courtyard,halton,randomwalk,633450
sanmiguel-realistic-courtyard,halton,simplepath,812389
sanmiguel-realistic-courtyard,halton,simplevolpath,637670
sanmiguel-realistic-courtyard,halton,volpath,810109
sanmiguel-realistic-courtyard,independent,bdpt,832810
sanmiguel-realistic-courtyard,independent,lightpath,845549
sanmiguel-realistic-courtyard,independent,path,836059
sanmiguel-realistic-courtyard,independent,randomwalk,848620
sanmiguel-realistic-courtyard,independent,simplepath,814220
sanmiguel-realistic-courtyard,independent,simplevolpath,648670
sanmiguel-realistic-courtyard,independent,volpath,626890
sanmiguel-realistic-courtyard,paddedsobol,bdpt,866889
sanmiguel-realistic-courtyard,paddedsobol,lightpath,846870
sanmiguel-realistic-courtyard,paddedsobol,path,809409
sanmiguel-realistic-courtyard,paddedsobol,randomwalk,640808
sanmiguel-realistic-courtyard,paddedsobol,simplepath,823970
sanmiguel-realistic-courtyard,paddedsobol,simplevolpath,808969
sanmiguel-realistic-courtyard,paddedsobol,volpath,567540
sanmiguel-realistic-courtyard,sobol,bdpt,602320
sanmiguel-realistic-courtyard,sobol,lightpath,807020
sanmiguel-realistic-courtyard,sobol,path,571650
sanmiguel-realistic-courtyard,sobol,randomwalk,837789
sanmiguel-realistic-courtyard,sobol,simplepath,788970
sanmiguel-realistic-courtyard,sobol,simplevolpath,861619
sanmiguel-realistic-courtyard,sobol,volpath,723650
sanmiguel-realistic-courtyard,stratified,bdpt,606700
sanmiguel-realistic-courtyard,stratified,lightpath,861739
sanmiguel-realistic-courtyard,stratified,path,742199
sanmiguel-realistic-courtyard,stratified,randomwalk,873930
sanmiguel-realistic-courtyard,stratified,simplepath,622090
sanmiguel-realistic-courtyard,stratified,simplevolpath,691629
sanmiguel-realistic-courtyard,stratified,volpath,821989
sanmiguel-realistic-courtyard,zsobol,bdpt,829970
sanmiguel-realistic-courtyard,zsobol,lightpath,815460
sanmiguel-realistic-courtyard,zsobol,path,626069
sanmiguel-realistic-courtyard,zsobol,randomwalk,811419
sanmiguel-realistic-courtyard,zsobol,simplepath,607679
sanmiguel-realistic-courtyard,zsobol,simplevolpath,623830
sanmiguel-realistic-courtyard,zsobol,volpath,823760
sanmiguel-upstairs-across,halton,bdpt,749529
sanmiguel-upstairs-across,halton,lightpath,626548
sanmiguel-upstairs-across,halton,path,841690
sanmiguel-upstairs-across,halton,randomwalk,747319
sanmiguel-upstairs-across,halton,simplepath,603560
sanmiguel-upstairs-across,halton,simplevolpath,889680
sanmiguel-upstairs-across,halton,volpath,773600
sanmiguel-upstairs-across,independent,bdpt,819690
sanmiguel-upstairs-across,independent,lightpath,815790
sanmiguel-upstairs-across,independent,path,811550
sanmiguel-upstairs-across,independent,randomwalk,819220
sanmiguel-upstairs-across,independent,simplepath,590069
sanmiguel-upstairs-across,independent,simplevolpath,591790
sanmiguel-upstairs-across,independent,volpath,594850
sanmiguel-upstairs-across,paddedsobol,bdpt,589169
sanmiguel-upstairs-across,paddedsobol,lightpath,594760
sanmiguel-upstairs-across,paddedsobol,path,597390
sanmiguel-upstairs-across,paddedsobol,randomwalk,607429
sanmiguel-upstairs-across,paddedsobol,simplepath,601480
sanmiguel-upstairs-across,paddedsobol,simplevolpath,573540
sanmiguel-upstairs-across,paddedsobol,volpath,625380
sanmiguel-upstairs-across,sobol,bdpt,812579
sanmiguel-upstairs-across,sobol,lightpath,554530
sanmiguel-upstairs-across,sobol,path,632419
sanmiguel-upstairs-across,sobol,randomwalk,821699
sanmiguel-upstairs-across,sobol,simplepath,820150
sanmiguel-upstairs-across,sobol,simplevolpath,830120
