Scene,Sampler,Integrator,non contributing rays
sanmiguel-upstairs,zsobol,volpath,0.859053373336792
sanmiguel-upstairs,zsobol,simplepath,0.8226601481437683
sanmiguel-upstairs,paddedsobol,bdpt,0.7583551406860352
sanmiguel-upstairs,independent,randomwalk,0.968940019607544
sanmiguel-upstairs,stratified,bdpt,0.7583799362182617
sanmiguel-upstairs,sobol,path,0.85896897315979
sanmiguel-upstairs,stratified,randomwalk,0.9689713716506958
sanmiguel-upstairs,stratified,path,0.8589174747467041
sanmiguel-upstairs,sobol,randomwalk,0.9689688682556152
sanmiguel-upstairs,sobol,volpath,0.8590247631072998
sanmiguel-upstairs,halton,simplepath,0.8226796984672546
sanmiguel-upstairs,halton,bdpt,0.7582942247390747
sanmiguel-upstairs,stratified,simplepath,0.8226292133331299
sanmiguel-upstairs,halton,volpath,0.859015703201294
sanmiguel-upstairs,stratified,volpath,0.8589977622032166
sanmiguel-upstairs,halton,randomwalk,0.9689622521400452
sanmiguel-upstairs,paddedsobol,simplepath,0.8226304054260254
sanmiguel-upstairs,halton,path,0.8589673638343811
sanmiguel-upstairs,independent,volpath,0.8590304851531982
sanmiguel-upstairs,sobol,bdpt,0.7584133148193359
sanmiguel-upstairs,independent,simplepath,0.8226529955863953
sanmiguel-upstairs,zsobol,path,0.8589889407157898
sanmiguel-upstairs,paddedsobol,volpath,0.8589991331100464
sanmiguel-upstairs,sobol,simplepath,0.8226360082626343
sanmiguel-upstairs,independent,bdpt,0.7583563327789307
sanmiguel-upstairs,zsobol,bdpt,0.7583812475204468
sanmiguel-upstairs,zsobol,randomwalk,0.9689537882804871
sanmiguel-upstairs,independent,path,0.858949601650238
sanmiguel-upstairs,paddedsobol,randomwalk,0.9689526557922363
sanmiguel-upstairs,paddedsobol,path,0.8589587211608887
sanmiguel-upstairs-across,paddedsobol,simplepath,0.7141785025596619
sanmiguel-upstairs-across,zsobol,simplepath,0.7141162157058716
sanmiguel-upstairs-across,halton,path,0.729134202003479
sanmiguel-upstairs-across,independent,bdpt,0.6186424493789673
sanmiguel-upstairs-across,sobol,simplepath,0.7141081690788269
sanmiguel-upstairs-across,stratified,path,0.7292349338531494
sanmiguel-upstairs-across,sobol,volpath,0.7291932702064514
sanmiguel-upstairs-across,halton,randomwalk,0.9189369678497314
sanmiguel-upstairs-across,zsobol,path,0.7292085886001587
sanmiguel-upstairs-across,zsobol,volpath,0.7292129993438721
sanmiguel-upstairs-across,halton,bdpt,0.618868350982666
sanmiguel-upstairs-across,independent,simplepath,0.7140513062477112
sanmiguel-upstairs-across,zsobol,bdpt,0.618681788444519
sanmiguel-upstairs-across,paddedsobol,volpath,0.7292539477348328
sanmiguel-upstairs-across,sobol,randomwalk,0.9189072847366333
sanmiguel-upstairs-across,independent,path,0.729157567024231
sanmiguel-upstairs-across,sobol,bdpt,0.6187427639961243
sanmiguel-upstairs-across,independent,volpath,0.7292015552520752
sanmiguel-upstairs-across,paddedsobol,path,0.7292283177375793
sanmiguel-upstairs-across,stratified,bdpt,0.6187866926193237
sanmiguel-upstairs-across,halton,volpath,0.729225218296051
sanmiguel-upstairs-across,paddedsobol,randomwalk,0.9189170598983765
sanmiguel-upstairs-across,stratified,randomwalk,0.9189294576644897
